Canton,Town,Norfolk,Open town meeting,"21,561",1797
Carlisle,Town,Middlesex,Open town meeting,"4,852",1780
Carver,Town,Plymouth,Open town meeting,"11,509",1790
Charlemont,Town,Franklin,Open town meeting,"1,266",1765
Charlton,Town,Worcester,Open town meeting,"12,981",1755[5]
Chatham,Town,Barnstable,Open town meeting,"6,125",1712
Chelmsford,Town,Middlesex,Representative town meeting,"33,802",1655
Chelsea,City,Suffolk,Council-manager,"35,177",1739
Cheshire,Town,Berkshire,Open town meeting,"3,235",1793
Chester,Town,Hampden,Open town meeting,"1,337",1765
Chesterfield,Town,Hampshire,Open town meeting,"1,222",1762
Chicopee,City,Hampden,Mayor-aldermen,"55,298",1848
Chilmark,Town,Dukes,Open town meeting,866,1714
Clarksburg,Town,Berkshire,Open town meeting,"1,702",1798
Clinton,Town,Worcester,Open town meeting,"13,606",1850
Cohasset,Town,Norfolk,Open town meeting,"7,542",1775
Colrain,Town,Franklin,Open town meeting,"1,671",1761
Concord,Town,Middlesex,Open town meeting,"17,668",1635
Conway,Town,Franklin,Open town meeting,"1,897",1775
Cummington,Town,Hampshire,Open town meeting,872,1779
Dalton,Town,Berkshire,Open town meeting,"6,756",1784
Danvers,Town,Essex,Representative town meeting,"26,493",1775
Dartmouth,Town,Bristol,Representative town meeting,"34,032",1664
Dedham,Town,Norfolk,Representative town meeting,"24,729",1636
Deerfield,Town,Franklin,Open town meeting,"5,125",1677
Dennis,Town,Barnstable,Open town meeting,"14,207",1793
Dighton,Town,Bristol,Open town meeting,"7,086",1712
Douglas,Town,Worcester,Open town meeting,"8,471",1775
Dover,Town,Norfolk,Open town meeting,"5,589",1836
Dracut,Town,Middlesex,Open town meeting,"29,457",1701
Dudley,Town,Worcester,Open town meeting,"11,390",1732
Dunstable,Town,Middlesex,Open town meeting,"3,179",1673
Duxbury,Town,Plymouth,Open town meeting,"15,059",1637
East Bridgewater,Town,Plymouth,Open town meeting,"13,794",1823
East Brookfield,Town,Worcester,Open town meeting,"2,183",1920
East Longmeadow,Town,Hampden,Open town meeting,"15,720",1894
Eastham,Town,Barnstable,Open town meeting,"4,956",1646
Easthampton,City,Hampshire,Mayor-council,"16,053",1809
Easton,Town,Bristol,Open town meeting,"23,112",1725
Edgartown,Town,Dukes,Open town meeting,"4,067",1671
Egremont,Town,Berkshire,Open town meeting,"1,225",1775
Erving,Town,Franklin,Open town meeting,"1,800",1838
Essex,Town,Essex,Open town meeting,"3,504",1819
Everett,City,Middlesex,Mayor-council-aldermen,"41,667",1870
Fairhaven,Town,Bristol,Representative town meeting,"15,873",1812
Fall River,City,Bristol,Mayor-council,"88,857",1803
Falmouth,Town,Barnstable,Representative town meeting,"31,531",1686
Fitchburg,City,Worcester,Mayor-council,"40,318",1764
Florida,Town,Berkshire,Open town meeting,752,1805
Foxborough,Town,Norfolk,Open town meeting,"16,865",1778
Framingham,Town,Middlesex,Representative town meeting,"68,318",1700
Franklin,City[4],Norfolk,Council-administrator,"31,635",1778
Freetown,Town,Bristol,Open town meeting,"8,870",1683
Gardner,City,Worcester,Mayor-council,"20,228",1785
Georgetown,Town,Essex,Open town meeting,"8,183",1838
Gill,Town,Franklin,Open town meeting,"1,500",1793
Gloucester,City,Essex,Mayor-council,"28,789",1623
Goshen,Town,Hampshire,Open town meeting,"1,054",1781
Gosnold,Town,Dukes,Open town meeting,75,1864
Grafton,Town,Worcester,Open town meeting,"17,765",1735
Granby,Town,Hampshire,Open town meeting,"6,240",1768
Granville,Town,Hampden,Open town meeting,"1,566",1775
Great Barrington,Town,Berkshire,Open town meeting,"7,104",1761
Greenfield,City[4],Franklin,Mayor-council,"17,456",1775
Groton,Town,Middlesex,Open town meeting,"10,646",1655
Groveland,Town,Essex,Open town meeting,"6,459",1850
Hadley,Town,Hampshire,Open town meeting,"5,250",1661
Halifax,Town,Plymouth,Open town meeting,"7,518",1734
Hamilton,Town,Essex,Open town meeting,"7,764",1793
Hampden,Town,Hampden,Open town meeting,"5,139",1878
Hancock,Town,Berkshire,Open town meeting,717,1776
Hanover,Town,Plymouth,Open town meeting,"13,879",1727
Hanson,Town,Plymouth,Open town meeting,"10,209",1820
Hardwick,Town,Worcester,Open town meeting,"2,990",1739
Harvard,Town,Worcester,Open town meeting,"6,520",1732
Harwich,Town,Barnstable,Open town meeting,"12,243",1694
Hatfield,Town,Hampshire,Open town meeting,"3,279",1670
Haverhill,City,Essex,Mayor-council,"60,879",1641
Hawley,Town,Franklin,Open town meeting,337,1792
Heath,Town,Franklin,Open town meeting,706,1785
Hingham,Town,Plymouth,Open town meeting,"22,157",1635
Hinsdale,Town,Berkshire,Open town meeting,"2,032",1804
Holbrook,Town,Norfolk,Representative town meeting,"10,791",1872
Holden,Town,Worcester,Open town meeting,"17,346",1741
Holland,Town,Hampden,Open town meeting,"2,481",1835
Holliston,Town,Middlesex,Open town meeting,"13,547",1724
Holyoke,City,Hampden,Mayor-council,"39,880",1850
Hopedale,Town,Worcester,Open town meeting,"5,911",1886
Hopkinton,Town,Middlesex,Open town meeting,"14,925",1715
Hubbardston,Town,Worcester,Open town meeting,"4,382",1775
Hudson,Town,Middlesex,Open town meeting,"19,063",1866
Hull,Town,Plymouth,Open town meeting,"10,293",1644
Huntington,Town,Hampshire,Open town meeting,"2,180",1775
Ipswich,Town,Essex,Open town meeting,"13,175",1634
Kingston,Town,Plymouth,Open town meeting,"12,629",1726
Lakeville,Town,Plymouth,Open town meeting,"10,602",1853
Lancaster,Town,Worcester,Open town meeting,"8,055",1653
Lanesborough,Town,Berkshire,Open town meeting,"3,091",1765
Lawrence,City,Essex,Mayor-council,"76,377",1847
Lee,Town,Berkshire,Representative town meeting,"5,943",1777
Leicester,Town,Worcester,Open town meeting,"10,970",1714
Lenox,Town,Berkshire,Open town meeting,"5,025",1775
Leominster,City,Worcester,Mayor-council,"40,759",1740
Leverett,Town,Franklin,Open town meeting,"1,851",1774
Lexington,Town,Middlesex,Representative town meeting,"31,394",1713
Leyden,Town,Franklin,Open town meeting,711,1809
Lincoln,Town,Middlesex,Open town meeting,"6,362",1754
Littleton,Town,Middlesex,Open town meeting,"8,924",1715
Longmeadow,Town,Hampden,Open town meeting,"15,784",1783
Lowell,City,Middlesex,Mayor-manager-council,"106,519",1826
Ludlow,Town,Hampden,Representative town meeting,"21,103",1775
Lunenburg,Town,Worcester,Open town meeting,"10,086",1728
Lynn,City,Essex,Mayor-council,"90,329",1629
Lynnfield,Town,Essex,Open town meeting,"11,596",1814
Malden,City,Middlesex,Mayor-council,"59,450",1649
Manchester-by-the-Sea,Town,Essex,Open town meeting,"5,136",1645
Mansfield,Town,Bristol,Open town meeting,"23,184",1775
Marblehead,Town,Essex,Open town meeting,"19,808",1649
Marion,Town,Plymouth,Open town meeting,"4,907",1852
Marlborough,City,Middlesex,Mayor-council,"38,499",1660
Marshfield,Town,Plymouth,Open town meeting,"25,132",1640
Mashpee,Town,Barnstable,Open town meeting,"14,006",1870
Mattapoisett,Town,Plymouth,Open town meeting,"6,045",1857
Maynard,Town,Middlesex,Open town meeting,"10,106",1871
Medfield,Town,Norfolk,Open town meeting,"12,024",1651
Medford,City,Middlesex,Mayor-council,"56,173",1630
Medway,Town,Norfolk,Open town meeting,"12,752",1713
Melrose,City,Middlesex,Mayor-aldermen,"26,983",1850
Mendon,Town,Worcester,Open town meeting,"5,839",1667
Merrimac,Town,Essex,Open town meeting,"6,338",1876
Methuen,City[4],Essex,Mayor-council,"47,255",1725
Middleborough,Town,Plymouth,Open town meeting,"23,116",1669
Middlefield,Town,Hampshire,Open town meeting,521,1783
Middleton,Town,Essex,Open town meeting,"8,987",1728
Milford,Town,Worcester,Representative town meeting,"27,999",1780
Millbury,Town,Worcester,Open town meeting,"13,261",1813
Millis,Town,Norfolk,Open town meeting,"7,891",1885
Millville,Town,Worcester,Open town meeting,"3,190",1916
Milton,Town,Norfolk,Representative town meeting,"27,003",1662
Monroe,Town,Franklin,Open town meeting,121,1822
Monson,Town,Hampden,Open town meeting,"8,560",1775
Montague,Town,Franklin,Representative town meeting,"8,437",1775
Monterey,Town,Berkshire,Open town meeting,961,1847
Montgomery,Town,Hampden,Open town meeting,838,1780
Mount Washington,Town,Berkshire,Open town meeting,167,1779
Nahant,Town,Essex,Open town meeting,"3,410",1853
Nantucket,Town,Nantucket,Open town meeting,"10,172",1671
Natick,Town,Middlesex,Representative town meeting,"33,006",1781
Needham,Town,Norfolk,Representative town meeting,"28,886",1711
New Ashford,Town,Berkshire,Open town meeting,228,1835
New Bedford,City,Bristol,Mayor-council,"95,072",1787
New Braintree,Town,Worcester,Open town meeting,999,1775
New Marlborough,Town,Berkshire,Open town meeting,"1,509",1775
New Salem,Town,Franklin,Open town meeting,990,1775
Newbury,Town,Essex,Open town meeting,"6,666",1635
Newburyport,City,Essex,Mayor-council,"17,416",1764
Newton,City,Middlesex,Mayor-aldermen,"85,146",1688
Norfolk,Town,Norfolk,Open town meeting,"11,227",1870
North Adams,City,Berkshire,Mayor-council,"13,708",1878
North Andover,Town,Essex,Open town meeting,"28,352",1855
North Attleborough,Town,Bristol,Representative town meeting,"28,712",1887
North Brookfield,Town,Worcester,Open town meeting,"4,680",1812
North Reading,Town,Middlesex,Open town meeting,"14,892",1853
Northampton,City,Hampshire,Mayor-council,"28,549",1656
Northborough,Town,Worcester,Open town meeting,"14,155",1775
Northbridge,Town,Worcester,Open town meeting,"15,707",1775
Northfield,Town,Franklin,Open town meeting,"3,032",1723
Norton,Town,Bristol,Open town meeting,"19,031",1711
Norwell,Town,Plymouth,Open town meeting,"10,506",1849
Norwood,Town,Norfolk,Representative town meeting,"28,602",1872
Oak Bluffs,Town,Dukes,Open town meeting,"4,527",1880
Oakham,Town,Worcester,Open town meeting,"1,902",1775
Orange,Town,Franklin,Open town meeting,"7,839",1810
Orleans,Town,Barnstable,Open town meeting,"5,890",1797
Otis,Town,Berkshire,Open town meeting,"1,612",1773
Oxford,Town,Worcester,Open town meeting,"13,709",1713
Palmer,City[4],Hampden,Council-manager,"12,140",1775
Paxton,Town,Worcester,Open town meeting,"4,806",1775
Peabody,City,Essex,Mayor-council,"51,251",1868
Pelham,Town,Hampshire,Open town meeting,"1,321",1743
Pembroke,Town,Plymouth,Open town meeting,"17,837",1712
Pepperell,Town,Middlesex,Open town meeting,"11,497",1775
Peru,Town,Berkshire,Open town meeting,847,1771
Petersham,Town,Worcester,Open town meeting,"1,234",1754
Phillipston,Town,Worcester,Open town meeting,"1,682",1786
Pittsfield,City,Berkshire,Mayor-council,"44,737",1761
Plainfield,Town,Hampshire,Open town meeting,648,1807
Plainville,Town,Norfolk,Open town meeting,"8,264",1905
Plymouth,Town,Plymouth,Representative town meeting,"56,468",1620
Plympton,Town,Plymouth,Open town meeting,"2,820",1707
Princeton,Town,Worcester,Open town meeting,"3,413",1771
Provincetown,Town,Barnstable,Open town meeting,"2,942",1727
Quincy,City,Norfolk,Mayor-council,"92,271",1792
Randolph,City[4],Norfolk,Council-manager,"32,112",1793
Raynham,Town,Bristol,Open town meeting,"13,383",1731
Reading,Town,Middlesex,Representative town meeting,"24,747",1644
Rehoboth,Town,Bristol,Open town meeting,"11,608",1645
Revere,City,Suffolk,Mayor-council,"51,755",1846
Richmond,Town,Berkshire,Open town meeting,"1,475",1765
Rochester,Town,Plymouth,Open town meeting,"5,232",1686
Rockland,Town,Plymouth,Open town meeting,"17,489",1874
Rockport,Town,Essex,Open town meeting,"6,952",1840
Rowe,Town,Franklin,Open town meeting,393,1785
Rowley,Town,Essex,Open town meeting,"5,856",1639
Royalston,Town,Worcester,Open town meeting,"1,258",1765
Russell,Town,Hampden,Open town meeting,"1,775",1792
Rutland,Town,Worcester,Open town meeting,"7,973",1713
Salem,City,Essex,Mayor-council,"41,340",1626
Salisbury,Town,Essex,Open town meeting,"8,283",1639
Sandisfield,Town,Berkshire,Open town meeting,915,1762
Sandwich,Town,Barnstable,Open town meeting,"20,675",1638
Saugus,Town,Essex,Representative town meeting,"26,628",1815
Savoy,Town,Berkshire,Open town meeting,692,1797
Scituate,Town,Plymouth,Open town meeting,"18,133",1636
Seekonk,Town,Bristol,Open town meeting,"13,722",1812
Sharon,Town,Norfolk,Open town meeting,"17,612",1775
Sheffield,Town,Berkshire,Open town meeting,"3,257",1733
Shelburne,Town,Franklin,Open town meeting,"1,893",1775
Sherborn,Town,Middlesex,Open town meeting,"4,119",1674
Shirley,Town,Middlesex,Open town meeting,"7,211",1775
Shrewsbury,Town,Worcester,Representative town meeting,"35,608",1727
Shutesbury,Town,Franklin,Open town meeting,"1,771",1761
Somerset,Town,Bristol,Open town meeting,"18,165",1790
Somerville,City,Middlesex,Mayor-aldermen,"75,754",1842
South Hadley,Town,Hampshire,Representative town meeting,"17,514",1775
Southampton,Town,Hampshire,Open town meeting,"5,792",1775
Southborough,Town,Worcester,Open town meeting,"9,767",1727
Southbridge,City[4],Worcester,Council-manager,"16,719",1816
Southwick,Town,Hampden,Open town meeting,"9,502",1775
Spencer,Town,Worcester,Open town meeting,"11,688",1775
Springfield,City,Hampden,Mayor-council,"153,060",1636
Sterling,Town,Worcester,Open town meeting,"7,808",1781
Stockbridge,Town,Berkshire,Open town meeting,"1,947",1739
Stoneham,Town,Middlesex,Open town meeting,"21,437",1725
Stoughton,Town,Norfolk,Representative town meeting,"26,962",1726
Stow,Town,Middlesex,Open town meeting,"6,590",1683
Sturbridge,Town,Worcester,Open town meeting,"9,268",1738
Sudbury,Town,Middlesex,Open town meeting,"17,659",1639
Sunderland,Town,Franklin,Open town meeting,"3,684",1714
Sutton,Town,Worcester,Open town meeting,"8,963",1714
Swampscott,Town,Essex,Representative town meeting,"13,787",1852
Swansea,Town,Bristol,Open town meeting,"15,865",1667
Taunton,City,Bristol,Mayor-council,"55,874",1639
Templeton,Town,Worcester,Open town meeting,"8,013",1762
Tewksbury,Town,Middlesex,Open town meeting,"28,961",1734
Tisbury,Town,Dukes,Open town meeting,"3,949",1671
Tolland,Town,Hampden,Open town meeting,485,1810
Topsfield,Town,Essex,Open town meeting,"6,085",1650
Townsend,Town,Middlesex,Open town meeting,"8,926",1732
Truro,Town,Barnstable,Open town meeting,"2,003",1709
Tyngsborough,Town,Middlesex,Open town meeting,"11,292",1809
Tyringham,Town,Berkshire,Open town meeting,327,1762
Upton,Town,Worcester,Open town meeting,"7,542",1735
Uxbridge,Town,Worcester,Open town meeting,"13,457",1727
Wakefield,Town,Middlesex,Open town meeting,"24,932",1812
Wales,Town,Hampden,Open town meeting,"1,838",1762
Walpole,Town,Norfolk,Representative town meeting,"24,070",1724
Waltham,City,Middlesex,Mayor-council,"60,632",1738
Ware,Town,Hampshire,Open town meeting,"9,872",1775
Wareham,Town,Plymouth,Open town meeting,"21,822",1739
Warren,Town,Worcester,Open town meeting,"5,135",1742
Warwick,Town,Franklin,Open town meeting,780,1763
Washington,Town,Berkshire,Open town meeting,538,1777
Watertown,City[4],Middlesex,Council-manager,"31,915",1630
Wayland,Town,Middlesex,Open town meeting,"12,994",1780
Webster,Town,Worcester,Open town meeting,"16,767",1832
Wellesley,Town,Norfolk,Representative town meeting,"27,982",1881
Wellfleet,Town,Barnstable,Open town meeting,"2,750",1775
Wendell,Town,Franklin,Open town meeting,848,1781
Wenham,Town,Essex,Open town meeting,"4,875",1643
West Boylston,Town,Worcester,Open town meeting,"7,669",1808
West Bridgewater,Town,Plymouth,Open town meeting,"6,916",1822
West Brookfield,Town,Worcester,Open town meeting,"3,701",1848
West Newbury,Town,Essex,Open town meeting,"4,235",1819
West Springfield,City[4],Hampden,Mayor-council,"28,391",1774
West Stockbridge,Town,Berkshire,Open town meeting,"1,306",1775
West Tisbury,Town,Dukes,Open town meeting,"2,740",1892
Westborough,Town,Worcester,Open town meeting,"18,272",1717
Westfield,City,Hampden,Mayor-council,"41,094",1669
Westford,Town,Middlesex,Open town meeting,"21,951",1729
Westhampton,Town,Hampshire,Open town meeting,"1,607",1778
Westminster,Town,Worcester,Open town meeting,"7,277",1770
Weston,Town,Middlesex,Open town meeting,"11,261",1713
Westport,Town,Bristol,Open town meeting,"15,532",1787
Westwood,Town,Norfolk,Open town meeting,"14,618",1897
Weymouth,City[4],Norfolk,Mayor-council,"53,743",1635
Whately,Town,Franklin,Open town meeting,"1,496",1771
Whitman,Town,Plymouth,Open town meeting,"14,489",1875
Wilbraham,Town,Hampden,Open town meeting,"14,219",1763
Williamsburg,Town,Hampshire,Open town meeting,"2,482",1775
Williamstown,Town,Berkshire,Open town meeting,"7,754",1765
Wilmington,Town,Middlesex,Open town meeting,"22,325",1730
Winchendon,Town,Worcester,Open town meeting,"10,300",1764
Winchester,Town,Middlesex,Representative town meeting,"21,374",1850
Windsor,Town,Berkshire,Open town meeting,899,1771
Winthrop,City[4],Suffolk,Council-manager,"17,497",1852
Woburn,City,Middlesex,Mayor-aldermen,"38,120",1642
Worcester,City,Worcester,Mayor-manager-council,"181,045",1684
Worthington,Town,Hampshire,Open town meeting,"1,156",1768
Wrentham,Town,Norfolk,Open town meeting,"10,955",1673
Yarmouth,Town ,Barnstable,Open town meeting,"23,793",1639
